id,timestamp,value,sensor_id
20770,2024-08-27 00:02:08.194048,42.0,4
20773,2024-08-27 00:03:11.974162,41.0,4
20776,2024-08-27 00:04:15.644093,42.0,4
20779,2024-08-27 00:05:19.401556,41.0,4
20782,2024-08-27 00:06:23.222957,42.0,4
20785,2024-08-27 00:07:26.905016,42.0,4
20788,2024-08-27 00:08:30.671383,42.0,4
20791,2024-08-27 00:09:34.415252,42.0,4
20794,2024-08-27 00:10:38.142764,42.0,4
20797,2024-08-27 00:11:41.969450,42.0,4
20800,2024-08-27 00:12:45.777919,42.0,4
20803,2024-08-27 00:13:49.535454,42.0,4
20806,2024-08-27 00:14:53.322672,42.0,4
20809,2024-08-27 00:15:57.223637,42.0,4
20812,2024-08-27 00:17:01.007591,42.0,4
20815,2024-08-27 00:18:04.780126,42.0,4
20818,2024-08-27 00:19:08.551267,43.0,4
20821,2024-08-27 00:20:12.376484,42.0,4
20824,2024-08-27 00:21:16.105026,42.0,4
20827,2024-08-27 00:22:19.879399,42.0,4
20830,2024-08-27 00:23:23.580524,42.0,4
20833,2024-08-27 00:24:27.355384,42.0,4
20836,2024-08-27 00:25:31.132338,42.0,4
20839,2024-08-27 00:26:34.860336,43.0,4
20842,2024-08-27 00:27:38.589247,42.0,4
20845,2024-08-27 00:28:42.352686,42.0,4
20848,2024-08-27 00:29:46.091873,42.0,4
20851,2024-08-27 00:30:49.973918,42.0,4
20854,2024-08-27 00:31:53.737287,42.0,4
20857,2024-08-27 00:32:57.595509,42.0,4
20860,2024-08-27 00:34:01.352615,42.0,4
20863,2024-08-27 00:35:05.076535,43.0,4
20866,2024-08-27 00:36:08.783950,42.0,4
20869,2024-08-27 00:37:12.709056,42.0,4
20872,2024-08-27 00:38:16.430903,42.0,4
20875,2024-08-27 00:39:20.310146,43.0,4
20878,2024-08-27 00:40:24.030858,42.0,4
20881,2024-08-27 00:41:27.933170,43.0,4
20884,2024-08-27 00:42:31.713953,43.0,4
20887,2024-08-27 00:43:35.458813,42.0,4
20890,2024-08-27 00:44:39.201343,42.0,4
20893,2024-08-27 00:45:42.905534,42.0,4
20896,2024-08-27 00:46:46.797447,43.0,4
20899,2024-08-27 00:47:50.585401,42.0,4
20902,2024-08-27 00:48:54.334042,42.0,4
20905,2024-08-27 00:49:58.444448,42.0,4
20908,2024-08-27 00:51:02.216404,42.0,4
20911,2024-08-27 00:52:05.915388,42.0,4
20914,2024-08-27 00:53:09.635256,42.0,4
20917,2024-08-27 00:54:13.508148,42.0,4
20920,2024-08-27 00:55:17.366138,42.0,4
20923,2024-08-27 00:56:21.108516,43.0,4
20926,2024-08-27 00:57:24.847698,42.0,4
20929,2024-08-27 00:58:28.724844,43.0,4
20932,2024-08-27 00:59:32.439148,42.0,4
20935,2024-08-27 01:00:36.145608,43.0,4
20938,2024-08-27 01:01:39.889228,42.0,4
20941,2024-08-27 01:02:43.620555,42.0,4
20944,2024-08-27 01:03:47.473107,44.0,4
20947,2024-08-27 01:04:51.228076,43.0,4
20950,2024-08-27 01:05:54.972122,43.0,4
20953,2024-08-27 01:06:58.765011,42.0,4
20956,2024-08-27 01:08:02.592642,42.0,4
20959,2024-08-27 01:09:06.335989,42.0,4
20962,2024-08-27 01:10:10.062844,43.0,4
20965,2024-08-27 01:11:13.851494,43.0,4
20968,2024-08-27 01:12:17.718860,42.0,4
20971,2024-08-27 01:13:21.457919,43.0,4
20974,2024-08-27 01:14:25.178809,43.0,4
20977,2024-08-27 01:15:28.907430,42.0,4
20980,2024-08-27 01:16:32.684572,43.0,4
20983,2024-08-27 01:17:36.454639,43.0,4
20986,2024-08-27 01:18:40.207474,43.0,4
20989,2024-08-27 01:19:43.932337,43.0,4
20992,2024-08-27 01:20:47.689082,42.0,4
20995,2024-08-27 01:21:51.422760,43.0,4
20998,2024-08-27 01:22:55.170732,43.0,4
21001,2024-08-27 01:23:58.907864,43.0,4
21004,2024-08-27 01:25:02.590626,43.0,4
21007,2024-08-27 01:26:06.305451,43.0,4
21010,2024-08-27 01:27:10.090271,43.0,4
21013,2024-08-27 01:28:13.903175,43.0,4
21016,2024-08-27 01:29:17.678182,43.0,4
21019,2024-08-27 01:30:21.439855,43.0,4
21022,2024-08-27 01:31:25.209073,43.0,4
21025,2024-08-27 01:32:29.028950,43.0,4
21028,2024-08-27 01:33:32.738762,43.0,4
